raw_word	normalized	zipf_frequency	reason
00	00	6.750000	contains_digit
0000	0000	6.510000	contains_digit
000	000	6.230000	contains_digit
1	1	5.890000	contains_digit
2	2	5.880000	contains_digit
3	3	5.820000	contains_digit
4	4	5.660000	contains_digit
5	5	5.660000	contains_digit
6	6	5.490000	contains_digit
8	8	5.440000	contains_digit
7	7	5.430000	contains_digit
9	9	5.300000	contains_digit
0.0	0.0	5.280000	contains_digit
0.000	0.000	5.180000	contains_digit
0	0	5.140000	contains_digit
00.000	00.000	5.070000	contains_digit
°	°	5.020000	malformed_after_normalization
0,0	0,0	5.000000	contains_digit
0.00	0.00	4.890000	contains_digit
http	http	4.880000	stoplist
00,0	00,0	4.850000	contains_digit
0,000	0,000	4.810000	contains_digit
000.000	000.000	4.800000	contains_digit
0,00	0,00	4.790000	contains_digit
00000	00000	4.780000	contains_digit
00.00	00.00	4.770000	contains_digit
00.0	00.0	4.720000	contains_digit
00,000	00,000	4.710000	contains_digit
00,00	00,00	4.590000	contains_digit
ee.uu	ee.uu	4.470000	malformed_after_normalization
♪	♪	4.400000	malformed_after_normalization
https	https	4.370000	stoplist
º	º	4.240000	malformed_after_normalization
nº	nº	4.210000	malformed_after_normalization
s.a	s.a	4.190000	malformed_after_normalization
com	com	4.190000	stoplist
000,000	000,000	4.140000	contains_digit
000000	000000	4.110000	contains_digit
t.co	t.co	4.080000	malformed_after_normalization
pdf	pdf	4.060000	stoplist
00m	00m	4.050000	contains_digit
00º	00º	4.050000	contains_digit
3d	3d	4.050000	contains_digit
000,00	000,00	4.040000	contains_digit
😂	😂	4.010000	malformed_after_normalization
1º	1º	3.960000	contains_digit
000.0	000.0	3.950000	contains_digit
00s	00s	3.940000	contains_digit
─	─	3.930000	malformed_after_normalization
0.000.000	0.000.000	3.920000	contains_digit
00h	00h	3.920000	contains_digit
©	©	3.920000	malformed_after_normalization
i'm	i'm	3.900000	malformed_after_normalization
p.m	p.m	3.900000	malformed_after_normalization
2º	2º	3.890000	contains_digit
don't	don't	3.890000	malformed_after_normalization
_	_	3.880000	malformed_after_normalization
a.m	a.m	3.880000	malformed_after_normalization
000,0	000,0	3.870000	contains_digit
00a	00a	3.800000	contains_digit
it's	it's	3.790000	malformed_after_normalization
d.c	d.c	3.750000	malformed_after_normalization
00k	00k	3.730000	contains_digit
d.f	d.f	3.720000	malformed_after_normalization
html	html	3.720000	stoplist
0.0.0	0.0.0	3.700000	contains_digit
1ª	1ª	3.700000	contains_digit
net	net	3.700000	stoplist
00hs	00hs	3.690000	contains_digit
͡		3.690000	empty
a.c	a.c	3.690000	malformed_after_normalization
1er	1er	3.660000	contains_digit
00ª	00ª	3.650000	contains_digit
👌	👌	3.650000	malformed_after_normalization
🤔	🤔	3.650000	malformed_after_normalization
2a	2a	3.620000	contains_digit
3º	3º	3.620000	contains_digit
ª	ª	3.620000	malformed_after_normalization
000.00	000.00	3.610000	contains_digit
2ª	2ª	3.600000	contains_digit
2do	2do	3.590000	contains_digit
3er	3er	3.590000	contains_digit
